timed;gen;idx;min;sec
chrom;1;0;00;0.562
chrom;1;1;00;0.503
chrom;1;2;00;0.531
chrom;1;3;00;0.627
chrom;1;4;00;0.516
chrom;1;5;00;0.687
chrom;1;6;00;0.551
chrom;1;7;00;0.836
chrom;1;8;00;0.765
chrom;1;9;00;0.594
chrom;1;10;00;0.508
chrom;1;11;00;0.525
chrom;1;12;00;0.594
chrom;1;13;00;0.562
chrom;1;14;00;0.520
chrom;1;15;00;0.500
chrom;1;16;00;0.578
chrom;1;17;00;0.656
chrom;1;18;00;0.662
chrom;1;19;00;0.578
chrom;1;20;00;0.547
chrom;1;21;00;0.567
chrom;1;22;00;0.594
chrom;1;23;00;0.673
chrom;1;24;00;0.540
chrom;1;25;00;0.444
chrom;1;26;00;0.656
chrom;1;27;00;0.484
gen;1;;00;16.484
chrom;2;0;00;0.750
chrom;2;1;00;0.643
chrom;2;2;00;0.710
chrom;2;3;00;0.614
chrom;2;4;00;0.750
chrom;2;5;00;0.645
chrom;2;6;00;0.644
chrom;2;7;00;0.647
chrom;2;8;00;0.663
chrom;2;9;00;0.609
chrom;2;10;00;0.622
chrom;2;11;00;0.677
chrom;2;12;00;0.589
chrom;2;13;00;0.670
chrom;2;14;00;0.645
chrom;2;15;00;0.605
chrom;2;16;00;0.647
chrom;2;17;00;0.688
chrom;2;18;00;0.622
chrom;2;19;00;0.613
chrom;2;20;00;0.578
chrom;2;21;00;0.453
chrom;2;22;00;0.625
chrom;2;23;00;0.531
chrom;2;24;00;0.535
chrom;2;25;00;0.594
chrom;2;26;00;0.500
chrom;2;27;00;0.453
gen;2;;00;17.427
chrom;3;0;00;0.549
chrom;3;1;00;0.510
chrom;3;2;00;0.578
chrom;3;3;00;0.579
chrom;3;4;00;0.500
chrom;3;5;00;0.578
chrom;3;6;00;0.594
chrom;3;7;00;0.566
chrom;3;8;00;0.578
chrom;3;9;00;0.484
chrom;3;10;00;0.515
chrom;3;11;00;0.562
chrom;3;12;00;0.487
chrom;3;13;00;0.453
chrom;3;14;00;0.587
chrom;3;15;00;0.547
