generation;idx;fitness;param0;param1;param2;param3;param4;param5;param6;param7;param8;param9
2;29;2.557894736842105;-d;;-ct;-cta;1.0;-ctb;3;-rsd;-r;10
2;30;2.3823529411764706;;-rrt;;;;;;-rsd;-r;5
2;31;2.557894736842105;;;;;;;;;;
2;32;2.5051546391752577;;;-ct;-cta;0.0;-ctb;3;;;
2;33;2.793103448275862;-d;;-ct;-cta;0.33;-ctb;3;;;
2;34;2.5051546391752577;;;-ct;-cta;0.0;-ctb;3;;;
2;35;2.3823529411764706;-d;-rrt;-ct;-cta;0.0;-ctb;3;-rsd;-r;1
2;36;2.5489510489510487;;-rrt;;;;;;;;
2;37;2.3142857142857145;-d;-rrt;-ct;-cta;0.0;-ctb;10;;;
2;38;2.650909090909091;-d;-rrt;;;;;;-rsd;-r;5
2;39;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
2;40;2.5489510489510487;;-rrt;;;;;;;;
2;41;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;;;
2;42;2.939516129032258;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
2;43;2.8255813953488373;-d;;-ct;-cta;0.67;-ctb;1;-rsd;-r;10
2;44;1.4182879377431907;;;-ct;-cta;0.67;-ctb;10;;;
2;45;2.904382470119522;-d;;;;;;;;;
2;46;2.2996845425867507;-d;;-ct;-cta;0.0;-ctb;10;-rsd;-r;10
2;47;2.5051546391752577;;-rrt;;;;;;-rsd;-r;10
2;48;2.5489510489510487;;-rrt;;;;;;;;
2;49;2.1568047337278107;;;-ct;-cta;0.67;-ctb;3;-rsd;-r;10
3;0;2.7613636363636362;-d;-rrt;-ct;-cta;0.33;-ctb;3;-rsd;-r;10
3;1;2.793103448275862;-d;;-ct;-cta;0.33;-ctb;3;-rsd;-r;5
3;2;2.793103448275862;-d;;-ct;-cta;0.33;-ctb;3;;;
3;3;2.8255813953488373;-d;;-ct;-cta;0.67;-ctb;1;;;
3;4;2.8255813953488373;-d;;-ct;-cta;0.67;-ctb;1;-rsd;-r;10
3;5;2.87007874015748;-d;;-ct;-cta;1.0;-ctb;1;;;
3;6;2.8814229249011856;-d;;;;;;;-rsd;-r;10
3;7;2.8814229249011856;-d;-rrt;-ct;-cta;0.0;-ctb;3;-rsd;-r;10
3;8;2.904382470119522;-d;;;;;;;;;
3;9;2.904382470119522;-d;;;;;;;;;
3;10;2.939516129032258;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
3;11;2.939516129032258;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;10
3;12;2.939516129032258;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
3;13;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
3;14;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
3;15;2.951417004048583;-d;-rrt;;;;;;;;
3;16;2.951417004048583;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;5
3;17;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
3;18;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;;;
3;19;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;10
3;20;2.3901639344262295;;-rrt;-ct;-cta;0.33;-ctb;3;-rsd;-r;10
3;21;2.793103448275862;-d;;-ct;-cta;0.33;-ctb;3;-rsd;-r;5
3;22;2.53125;-d;-rrt;-ct;-cta;1.0;-ctb;3;;;
3;23;2.513793103448276;;;-ct;-cta;0.67;-ctb;1;;;
3;24;2.904382470119522;-d;;;;;;;;;
3;25;2.7718631178707223;-d;;-ct;-cta;1.0;-ctb;1;-rsd;-r;1
3;26;2.904382470119522;-d;-rrt;-ct;-cta;0.0;-ctb;3;;;
3;27;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
3;28;2.7613636363636362;-d;-rrt;-ct;-cta;0.33;-ctb;3;;;
3;29;2.939516129032258;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
3;30;2.53125;-d;-rrt;-ct;-cta;1.0;-ctb;3;-rsd;-r;10
3;31;2.87007874015748;-d;;-ct;-cta;1.0;-ctb;1;;;
3;32;2.951417004048583;-d;-rrt;;;;;;;;
3;33;2.904382470119522;-d;;;;;;;;;
3;34;2.650909090909091;-d;-rrt;;;;;;-rsd;-r;5
3;35;2.904382470119522;-d;;;;;;;;;
3;36;2.557894736842105;-d;;-ct;-cta;1.0;-ctb;3;;;
3;37;2.3142857142857145;-d;-rrt;-ct;-cta;0.0;-ctb;10;;;
3;38;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
3;39;2.87007874015748;-d;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;5
3;40;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
3;41;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
3;42;2.557894736842105;-d;;-ct;-cta;1.0;-ctb;3;-rsd;-r;5
3;43;2.8255813953488373;-d;;-ct;-cta;0.67;-ctb;1;;;
3;44;2.904382470119522;-d;;-ct;-cta;0.0;-ctb;1;;;
3;45;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;-rsd;-r;10
3;46;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
3;47;2.927710843373494;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;5
3;48;2.892857142857143;-d;-rrt;-ct;-cta;0.67;-ctb;1;;;
3;49;2.8814229249011856;-d;;;;;;;-rsd;-r;10
4;0;2.904382470119522;-d;;-ct;-cta;0.0;-ctb;1;;;
4;1;2.927710843373494;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;5
4;2;2.939516129032258;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
4;3;2.939516129032258;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;10
4;4;2.939516129032258;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
4;5;2.939516129032258;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
4;6;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
4;7;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
4;8;2.951417004048583;-d;-rrt;;;;;;;;
4;9;2.951417004048583;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;5
4;10;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
4;11;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
4;12;2.951417004048583;-d;-rrt;;;;;;;;
4;13;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
4;14;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
4;15;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
4;16;2.951417004048583;-d;-rrt;;;;;;-rsd;-r;10
4;17;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;;;
4;18;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;-rsd;-r;10
4;19;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;10
4;20;2.650909090909091;-d;-rrt;-ct;-cta;0.0;-ctb;1;-rsd;-r;5
4;21;2.650909090909091;-d;-rrt;-ct;-cta;0.0;-ctb;1;-rsd;-r;5
4;22;2.904382470119522;-d;;;;;;;;;
4;23;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
4;24;2.892857142857143;-d;;-ct;-cta;0.33;-ctb;1;-rsd;-r;1
4;25;1.668192219679634;-d;-rrt;-ct;-cta;0.67;-ctb;10;;;
4;26;2.951417004048583;-d;-rrt;;;;;;;;
4;27;2.513793103448276;;-rrt;-ct;-cta;1.0;-ctb;1;;;
4;28;2.513793103448276;;-rrt;-ct;-cta;1.0;-ctb;1;;;
4;29;2.904382470119522;-d;-rrt;-ct;-cta;0.0;-ctb;3;;;
4;30;2.650909090909091;-d;-rrt;;;;;;-rsd;-r;5
4;31;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
4;32;2.650909090909091;-d;-rrt;-ct;-cta;0.67;-ctb;3;;;
4;33;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
4;34;1.9133858267716535;-d;-rrt;-ct;-cta;0.33;-ctb;10;-rsd;-r;10
4;35;2.951417004048583;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;1
4;36;2.650909090909091;-d;-rrt;;;;;;-rsd;-r;5
4;37;2.8814229249011856;-d;-rrt;-ct;-cta;0.0;-ctb;3;-rsd;-r;10
4;38;2.557894736842105;-d;;-ct;-cta;1.0;-ctb;3;;;
4;39;2.951417004048583;-d;-rrt;;;;;;;;
4;40;2.87007874015748;-d;;-ct;-cta;1.0;-ctb;1;-rsd;-r;10
4;41;2.3823529411764706;-d;-rrt;-ct;-cta;0.0;-ctb;3;-rsd;-r;1
4;42;2.951417004048583;-d;-rrt;;;;;;;;
4;43;1.8984375;-d;;-ct;-cta;0.33;-ctb;10;;;
4;44;2.951417004048583;-d;-rrt;;;;;;;;
4;45;2.5051546391752577;;-rrt;-ct;-cta;0.0;-ctb;1;-rsd;-r;10
4;46;2.975510204081633;-d;-rrt;-ct;-cta;0.33;-ctb;1;;;
4;47;1.8740359897172236;;-rrt;-ct;-cta;0.0;-ctb;10;;;
4;48;2.9634146341463414;-d;;-ct;-cta;0.33;-ctb;1;;;
4;49;2.4139072847682117;-d;-rrt;;;;;;-rsd;-r;1
5;0;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
5;1;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
5;2;2.951417004048583;-d;-rrt;;;;;;;;
5;3;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
5;4;2.951417004048583;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
