timed;gen;idx;min;sec
chrom;4;46;00;9.092
chrom;4;47;00;13.653
chrom;4;48;00;7.795
chrom;4;49;00;14.465
gen;4;;12;23.307
chrom;5;0;00;18.011
chrom;5;1;00;17.746
chrom;5;2;00;16.668
chrom;5;3;00;17.262
chrom;5;4;00;17.621
chrom;5;5;00;21.479
chrom;5;6;00;20.526
chrom;5;7;00;16.840
chrom;5;8;00;17.590
chrom;5;9;00;6.483
chrom;5;10;00;16.246
chrom;5;11;00;16.980
chrom;5;12;00;17.371
chrom;5;13;00;8.139
chrom;5;14;00;17.121
chrom;5;15;00;9.107
chrom;5;16;00;16.699
chrom;5;17;00;7.811
chrom;5;18;00;8.545
chrom;5;19;00;8.685
chrom;5;20;00;8.529
chrom;5;21;00;14.170
chrom;5;22;00;12.497
chrom;5;23;00;14.075
chrom;5;24;00;18.168
chrom;5;25;09;17.372
chrom;5;26;00;8.163
chrom;5;27;00;6.811
chrom;5;28;00;10.616
chrom;5;29;00;3.484
chrom;5;30;00;7.432
chrom;5;31;00;2.733
chrom;5;32;00;13.639
chrom;5;33;00;7.122
chrom;5;34;00;7.491
chrom;5;35;00;7.747
chrom;5;36;00;7.733
chrom;5;37;00;7.983
chrom;5;38;00;3.421
chrom;5;39;00;2.296
chrom;5;40;00;7.311
chrom;5;41;00;7.408
chrom;5;42;00;6.530
chrom;5;43;00;3.390
chrom;5;44;00;7.858
chrom;5;45;00;3.124
chrom;5;46;00;2.328
chrom;5;47;00;6.939
chrom;5;48;00;7.623
chrom;5;49;00;7.405
gen;5;;17;58.543
chrom;6;0;00;7.471
chrom;6;1;00;7.472
chrom;6;2;00;10.185
chrom;6;3;00;9.826
chrom;6;4;00;7.309
chrom;6;5;00;7.521
chrom;6;6;00;7.761
chrom;6;7;00;7.592
chrom;6;8;00;6.561
chrom;6;9;00;7.404
chrom;6;10;00;7.341
chrom;6;11;00;3.107
chrom;6;12;00;6.952
chrom;6;13;00;3.046
chrom;6;14;00;7.248
chrom;6;15;00;3.171
chrom;6;16;00;3.335
chrom;6;17;00;3.234
chrom;6;18;00;3.343
chrom;6;19;00;3.343
chrom;6;20;00;9.435
chrom;6;21;00;9.841
chrom;6;22;00;2.702
chrom;6;23;00;7.498
chrom;6;24;00;3.780
chrom;6;25;00;8.232
chrom;6;26;00;2.374
chrom;6;27;00;8.061
chrom;6;28;00;3.421
chrom;6;29;00;8.212
chrom;6;30;00;2.546
chrom;6;31;00;2.078
chrom;6;32;00;7.282
chrom;6;33;00;2.296
chrom;6;34;00;7.451
chrom;6;35;00;5.358
chrom;6;36;00;9.920
chrom;6;37;00;9.966
chrom;6;38;00;7.717
chrom;6;39;00;7.574
chrom;6;40;00;6.170
chrom;6;41;00;8.077
chrom;6;42;00;3.640
chrom;6;43;00;2.578
chrom;6;44;00;2.874
chrom;6;45;00;3.359
chrom;6;46;00;2.437
chrom;6;47;00;7.545
chrom;6;48;00;10.029
chrom;6;49;00;7.670
gen;6;;05;3.488
chrom;7;0;00;7.826
chrom;7;1;00;8.092
chrom;7;2;00;9.918
chrom;7;3;00;7.955
chrom;7;4;00;8.530
chrom;7;5;00;8.844
chrom;7;6;00;9.966
chrom;7;7;00;7.404
chrom;7;8;00;8.670
chrom;7;9;00;3.765
chrom;7;10;00;7.995
chrom;7;11;00;3.749
chrom;7;12;00;8.502
chrom;7;13;00;3.905
chrom;7;14;00;3.921
chrom;7;15;00;3.968
chrom;7;16;00;4.073
chrom;7;17;00;4.062
chrom;7;18;00;3.921
chrom;7;19;00;8.357
chrom;7;20;00;7.451
chrom;7;21;00;3.187
chrom;7;22;00;8.315
chrom;7;23;00;7.534
chrom;7;24;00;8.384
chrom;7;25;00;10.029
chrom;7;26;00;8.436
chrom;7;27;00;7.701
chrom;7;28;00;1.546
chrom;7;29;00;16.028
chrom;7;30;00;2.796
chrom;7;31;00;4.249
chrom;7;32;00;3.780
chrom;7;33;00;3.749
chrom;7;34;00;10.229
chrom;7;35;00;10.720
chrom;7;36;00;3.530
chrom;7;37;00;14.512
chrom;7;38;00;8.560
chrom;7;39;00;3.187
chrom;7;40;00;3.421
chrom;7;41;00;8.201
chrom;7;42;00;4.577
chrom;7;43;00;2.765
chrom;7;44;00;15.718
chrom;7;45;00;3.671
chrom;7;46;00;3.383
chrom;7;47;00;8.404
chrom;7;48;00;10.732
chrom;7;49;00;3.109
gen;7;;05;41.673
chrom;8;0;00;8.207
chrom;8;1;00;7.498
chrom;8;2;00;10.482
chrom;8;3;00;10.215
chrom;8;4;00;8.451
chrom;8;5;00;3.874
chrom;8;6;00;7.904
chrom;8;7;00;3.733
chrom;8;8;00;7.552
chrom;8;9;00;3.905
chrom;8;10;00;3.843
chrom;8;11;00;8.061
chrom;8;12;00;4.015
chrom;8;13;00;4.077
chrom;8;14;00;4.336
chrom;8;15;00;4.187
chrom;8;16;00;4.077
chrom;8;17;00;3.985
chrom;8;18;00;8.692
chrom;8;19;00;4.452
chrom;8;20;00;7.498
chrom;8;21;00;8.685
chrom;8;22;00;3.702
chrom;8;23;00;10.622
chrom;8;24;00;8.144
chrom;8;25;00;12.874
chrom;8;26;00;7.170
chrom;8;27;00;4.499
chrom;8;28;05;16.950
chrom;8;29;00;8.817
chrom;8;30;00;7.437
chrom;8;31;00;3.374
chrom;8;32;00;3.417
