generation;idx;fitness;param0;param1;param2;param3;param4;param5;param6;param7;param8;param9
22;38;1.263157894736842;;-rrt;-ct;-cta;0.0;-ctb;1;;;
22;39;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;5
23;0;1.3714285714285714;-d;-rrt;;;;;;;;
23;1;1.3714285714285714;-d;-rrt;;;;;;;;
23;2;1.3714285714285714;-d;-rrt;;;;;;;;
23;3;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;1;-rsd;-r;10
23;4;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
23;5;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;1
23;6;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
23;7;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;3;;;
23;8;1.3714285714285714;-d;-rrt;;;;;;;;
23;9;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;10
23;10;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
23;11;1.3714285714285714;-d;-rrt;;;;;;;;
23;12;1.3714285714285714;-d;-rrt;;;;;;;;
23;13;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;1;-rsd;-r;5
23;14;1.3714285714285714;-d;-rrt;;;;;;;;
23;15;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;5
23;16;1.0;-d;-rrt;-ct;-cta;0.67;-ctb;10;;;
23;17;1.3714285714285714;-d;-rrt;;;;;;;;
23;18;1.3714285714285714;-d;-rrt;;;;;;;;
23;19;1.3333333333333333;-d;;;;;;;;;
23;20;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
23;21;1.2972972972972974;-d;-rrt;;;;;;-rsd;-r;1
23;22;1.3714285714285714;-d;-rrt;;;;;;;;
23;23;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;3;-rsd;-r;10
23;24;1.3333333333333333;-d;-rrt;-ct;-cta;0.33;-ctb;3;-rsd;-r;1
23;25;1.2972972972972974;;-rrt;-ct;-cta;0.0;-ctb;1;-rsd;-r;1
23;26;1.3714285714285714;-d;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;5
23;27;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;10
23;28;1.3714285714285714;-d;-rrt;;;;;;;;
23;29;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
23;30;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;10
23;31;1.3333333333333333;-d;-rrt;-ct;-cta;1.0;-ctb;3;;;
23;32;1.3714285714285714;-d;-rrt;;;;;;;;
23;33;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
23;34;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
23;35;1.3714285714285714;-d;-rrt;;;;;;;;
23;36;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
23;37;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;5
23;38;1.3333333333333333;-d;;-ct;-cta;1.0;-ctb;1;;;
23;39;1.0;-d;-rrt;-ct;-cta;1.0;-ctb;10;;;
24;0;1.3714285714285714;-d;-rrt;;;;;;;;
24;1;1.3714285714285714;-d;-rrt;;;;;;;;
24;2;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
24;3;1.3714285714285714;-d;-rrt;;;;;;;;
24;4;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;3;-rsd;-r;10
24;5;1.3714285714285714;-d;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;5
24;6;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;10
24;7;1.3714285714285714;-d;-rrt;;;;;;;;
24;8;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
24;9;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;10
24;10;1.3714285714285714;-d;-rrt;;;;;;;;
24;11;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
24;12;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
24;13;1.3714285714285714;-d;-rrt;;;;;;;;
24;14;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
24;15;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;5
24;16;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
24;17;1.263157894736842;;-rrt;;;;;;-rsd;-r;5
24;18;1.3714285714285714;-d;-rrt;;;;;;;;
24;19;1.2972972972972974;;-rrt;-ct;-cta;0.0;-ctb;3;-rsd;-r;10
24;20;1.3714285714285714;-d;-rrt;;;;;;;;
24;21;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
24;22;1.263157894736842;;-rrt;;;;;;-rsd;-r;10
24;23;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
24;24;1.3333333333333333;-d;;;;;;;-rsd;-r;5
24;25;1.3333333333333333;-d;;;;;;;-rsd;-r;10
24;26;1.3714285714285714;-d;-rrt;-ct;-cta;0.67;-ctb;1;;;
24;27;1.0;-d;-rrt;-ct;-cta;1.0;-ctb;10;;;
24;28;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;3;;;
24;29;1.3714285714285714;-d;-rrt;;;;;;;;
24;30;1.3333333333333333;-d;;-ct;-cta;0.0;-ctb;1;;;
24;31;1.3333333333333333;-d;-rrt;-ct;-cta;1.0;-ctb;3;-rsd;-r;10
24;32;1.3714285714285714;-d;-rrt;;;;;;;;
24;33;1.3714285714285714;-d;-rrt;;;;;;;;
24;34;1.263157894736842;;-rrt;;;;;;;;
24;35;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;10
24;36;1.3714285714285714;-d;-rrt;;;;;;;;
24;37;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
24;38;1.263157894736842;;-rrt;;;;;;;;
24;39;1.0;;-rrt;-ct;-cta;0.33;-ctb;10;;;
25;0;1.3714285714285714;-d;-rrt;;;;;;;;
25;1;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
25;2;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;5
25;3;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;1;;;
25;4;1.3714285714285714;-d;-rrt;;;;;;;;
25;5;1.3714285714285714;-d;-rrt;;;;;;;;
25;6;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
25;7;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
25;8;1.3714285714285714;-d;-rrt;-ct;-cta;0.67;-ctb;1;;;
25;9;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;3;;;
25;10;1.3714285714285714;-d;-rrt;;;;;;;;
25;11;1.3714285714285714;-d;-rrt;;;;;;;;
25;12;1.3714285714285714;-d;-rrt;;;;;;;;
25;13;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;10
25;14;1.3714285714285714;-d;-rrt;;;;;;;;
25;15;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
25;16;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
25;17;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;10
25;18;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;10
25;19;1.2972972972972974;-d;-rrt;-ct;-cta;0.33;-ctb;1;-rsd;-r;5
25;20;1.0;-d;-rrt;-ct;-cta;0.33;-ctb;10;;;
25;21;1.3714285714285714;-d;-rrt;;;;;;;;
25;22;1.3333333333333333;-d;;;;;;;;;
25;23;1.3714285714285714;-d;-rrt;;;;;;;;
25;24;1.3714285714285714;-d;-rrt;;;;;;;;
25;25;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
25;26;1.2972972972972974;;-rrt;-ct;-cta;0.67;-ctb;1;;;
25;27;1.3714285714285714;-d;-rrt;;;;;;;;
25;28;1.3333333333333333;-d;-rrt;-ct;-cta;0.67;-ctb;3;;;
25;29;1.3714285714285714;-d;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;5
25;30;1.3714285714285714;-d;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;10
25;31;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
25;32;1.3333333333333333;-d;;;;;;;;;
25;33;1.3714285714285714;-d;-rrt;-ct;-cta;0.0;-ctb;3;;;
25;34;1.3333333333333333;-d;;-ct;-cta;0.0;-ctb;1;;;
25;35;1.263157894736842;;-rrt;;;;;;-rsd;-r;5
25;36;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
25;37;1.3714285714285714;-d;-rrt;;;;;;;;
25;38;1.3333333333333333;-d;;;;;;;;;
25;39;1.263157894736842;;-rrt;;;;;;;;
26;0;1.3714285714285714;-d;-rrt;;;;;;;;
26;1;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
26;2;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;;;
26;3;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;10
26;4;1.3714285714285714;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;10
26;5;1.3714285714285714;-d;-rrt;;;;;;;;
26;6;1.3714285714285714;-d;-rrt;;;;;;;;
26;7;1.3714285714285714;-d;-rrt;;;;;;;;
26;8;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
26;9;1.3714285714285714;-d;-rrt;;;;;;;;
26;10;1.3714285714285714;-d;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;5
26;11;1.3714285714285714;-d;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;10
26;12;1.3714285714285714;-d;-rrt;;;;;;-rsd;-r;5
