generation;idx;fitness;param0;param1;param2;param3;param4;param5;param6;param7;param8;param9;param10;param11;param12;param13;param14;param15;param16;param17;param18;param19;param20
1;0;1.2328767123287672;;;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;5;
1;1;1.1111111111111112;-d;-rrt;;;;;;-rsd;-r;1;-crlow;0.9;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;15;-bbcomp
1;2;1.2328767123287672;-d;;;;;;;-rsd;-r;10;-crlow;0.6;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;5;
1;3;1.0;-d;;-ct;-cta;1.0;-ctb;1;;;;-crlow;0.9;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;30;-bbcomp
1;4;1.1688311688311688;;;-ct;-cta;0.67;-ctb;1;-rsd;-r;10;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;-bbcomp
1;5;1.0714285714285714;;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;1;-crlow;0.9;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;-bbcomp
1;6;1.0;;;-ct;-cta;1.0;-ctb;1;;;;-crlow;0.6;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;
1;7;1.139240506329114;-d;-rrt;;;;;;-rsd;-r;10;-crlow;0.6;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;0;-bbcomp
1;8;0.9375;;;;;;;;-rsd;-r;1;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;0;-bbcomp
1;9;1.0714285714285714;-d;;;;;;;-rsd;-r;1;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;
1;10;1.0;-d;-rrt;-ct;-cta;0.67;-ctb;1;;;;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;30;
1;11;1.0;-d;-rrt;;;;;;-rsd;-r;10;-crlow;0.2;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;30;-bbcomp
1;12;1.0;;;-ct;-cta;0.0;-ctb;10;;;;-crlow;0.2;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;5;-bbcomp
1;13;1.0;;;-ct;-cta;0.33;-ctb;1;;;;-crlow;0.6;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;30;-bbcomp
1;14;0.8256880733944955;;-rrt;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;
1;15;1.0;-d;-rrt;;;;;;-rsd;-r;10;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;30;
1;16;1.0714285714285714;;-rrt;;;;;;-rsd;-r;5;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;5;
1;17;1.0;;-rrt;-ct;-cta;0.0;-ctb;10;-rsd;-r;10;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;-bbcomp
1;18;1.2162162162162162;;-rrt;-ct;-cta;0.67;-ctb;3;;;;-crlow;0.6;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;
1;19;1.0;;;;;;;;-rsd;-r;1;-crlow;0.6;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;
1;20;1.0975609756097562;-d;;-ct;-cta;0.67;-ctb;1;-rsd;-r;1;-crlow;0.6;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;0;
1;21;1.1538461538461537;;;;;;;;;;;-crlow;0.6;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;15;
1;22;0.7894736842105263;;;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;-bbcomp
1;23;1.0;;-rrt;-ct;-cta;0.0;-ctb;10;-rsd;-r;5;-crlow;0.9;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;-bbcomp
1;24;1.0714285714285714;;;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;5;-bbcomp
1;25;1.0714285714285714;;-rrt;-ct;-cta;0.0;-ctb;1;-rsd;-r;5;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;
1;26;1.0;-d;;-ct;-cta;0.67;-ctb;10;-rsd;-r;1;-crlow;0.9;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;15;-bbcomp
1;27;1.0714285714285714;;-rrt;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;-bbcomp
1;28;1.0;-d;;-ct;-cta;0.0;-ctb;10;;;;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;15;-bbcomp
1;29;1.0;-d;;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;15;-bbcomp
1;30;1.0;;-rrt;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;15;-bbcomp
1;31;1.0;-d;-rrt;;;;;;-rsd;-r;5;-crlow;0.6;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;30;
1;32;1.0;;-rrt;-ct;-cta;1.0;-ctb;3;-rsd;-r;10;-crlow;0.9;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;0;-bbcomp
1;33;1.0;-d;;-ct;-cta;1.0;-ctb;1;-rsd;-r;1;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;30;-bbcomp
1;34;0.8333333333333334;-d;;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;
1;35;1.1111111111111112;-d;-rrt;;;;;;-rsd;-r;1;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;
1;36;1.0714285714285714;;;-ct;-cta;0.67;-ctb;3;-rsd;-r;5;-crlow;0.9;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;5;-bbcomp
1;37;1.1538461538461537;;;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;15;-bbcomp
1;38;1.0;;-rrt;-ct;-cta;0.33;-ctb;3;-rsd;-r;5;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;15;
1;39;1.1111111111111112;-d;-rrt;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;
1;40;0.8653846153846154;-d;;-ct;-cta;0.67;-ctb;1;-rsd;-r;5;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;
1;41;1.1538461538461537;;-rrt;-ct;-cta;0.33;-ctb;1;;;;-crlow;0.6;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;15;-bbcomp
1;42;1.2162162162162162;-d;-rrt;;;;;;-rsd;-r;10;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;15;-bbcomp
