timed;gen;idx;min;sec
chrom;5;35;00;0.648
chrom;5;36;00;0.619
chrom;5;37;00;0.643
chrom;5;38;00;0.667
chrom;5;39;00;0.573
gen;5;;00;24.153
chrom;6;0;00;0.577
chrom;6;1;00;0.574
chrom;6;2;00;0.601
chrom;6;3;00;0.627
chrom;6;4;00;0.629
chrom;6;5;00;0.576
chrom;6;6;00;0.652
chrom;6;7;00;0.702
chrom;6;8;00;0.679
chrom;6;9;00;0.690
chrom;6;10;00;0.606
chrom;6;11;00;0.588
chrom;6;12;00;0.582
chrom;6;13;00;0.542
chrom;6;14;00;0.634
chrom;6;15;00;0.593
chrom;6;16;00;0.583
chrom;6;17;00;0.636
chrom;6;18;00;0.674
chrom;6;19;00;0.643
chrom;6;20;00;0.521
chrom;6;21;00;0.615
chrom;6;22;00;0.688
chrom;6;23;00;1.043
chrom;6;24;00;0.936
chrom;6;25;00;0.792
chrom;6;26;00;0.523
chrom;6;27;00;0.548
chrom;6;28;00;0.580
chrom;6;29;00;0.584
chrom;6;30;00;0.488
chrom;6;31;00;0.528
chrom;6;32;00;0.525
chrom;6;33;00;0.571
chrom;6;34;00;0.504
chrom;6;35;00;0.428
chrom;6;36;00;0.508
chrom;6;37;00;0.660
chrom;6;38;00;0.613
chrom;6;39;00;0.579
gen;6;;00;24.826
chrom;7;0;00;0.590
chrom;7;1;00;0.664
chrom;7;2;00;0.560
chrom;7;3;00;0.599
chrom;7;4;00;0.607
chrom;7;5;00;0.588
chrom;7;6;00;0.590
chrom;7;7;00;0.635
chrom;7;8;00;0.570
chrom;7;9;00;0.595
chrom;7;10;00;0.413
chrom;7;11;00;0.546
chrom;7;12;00;0.612
chrom;7;13;00;0.604
chrom;7;14;00;0.612
chrom;7;15;00;0.532
chrom;7;16;00;0.437
chrom;7;17;00;0.632
chrom;7;18;00;0.611
chrom;7;19;00;0.607
chrom;7;20;00;0.604
chrom;7;21;00;0.500
chrom;7;22;00;0.551
chrom;7;23;00;0.621
chrom;7;24;00;0.502
chrom;7;25;00;0.533
chrom;7;26;00;0.548
chrom;7;27;00;0.485
chrom;7;28;00;0.546
chrom;7;29;00;0.560
chrom;7;30;00;0.561
chrom;7;31;00;0.607
chrom;7;32;00;0.569
chrom;7;33;00;0.569
chrom;7;34;00;0.574
chrom;7;35;00;0.538
chrom;7;36;00;0.632
chrom;7;37;00;0.613
chrom;7;38;00;0.563
chrom;7;39;00;0.609
gen;7;;00;23.079
chrom;8;0;00;0.608
chrom;8;1;00;0.591
chrom;8;2;00;0.570
chrom;8;3;00;0.601
chrom;8;4;00;0.616
chrom;8;5;00;0.681
chrom;8;6;00;0.607
chrom;8;7;00;0.643
chrom;8;8;00;0.577
chrom;8;9;00;0.578
chrom;8;10;00;0.461
chrom;8;11;00;0.545
chrom;8;12;00;0.548
chrom;8;13;00;0.610
chrom;8;14;00;0.630
chrom;8;15;00;0.505
chrom;8;16;00;0.585
chrom;8;17;00;0.586
chrom;8;18;00;0.564
chrom;8;19;00;0.603
chrom;8;20;00;0.504
chrom;8;21;00;0.613
chrom;8;22;00;0.639
chrom;8;23;00;0.745
chrom;8;24;00;0.648
chrom;8;25;00;0.768
chrom;8;26;00;0.589
chrom;8;27;00;0.575
chrom;8;28;00;0.547
chrom;8;29;00;0.588
chrom;8;30;00;0.574
chrom;8;31;00;0.594
chrom;8;32;00;0.611
chrom;8;33;00;0.585
chrom;8;34;00;0.623
chrom;8;35;00;0.550
chrom;8;36;00;0.532
chrom;8;37;00;0.483
chrom;8;38;00;0.583
chrom;8;39;00;0.453
gen;8;;00;23.715
chrom;9;0;00;0.577
chrom;9;1;00;0.578
chrom;9;2;00;0.602
chrom;9;3;00;0.561
chrom;9;4;00;0.587
chrom;9;5;00;0.589
chrom;9;6;00;0.614
chrom;9;7;00;0.566
chrom;9;8;00;0.602
chrom;9;9;00;0.605
chrom;9;10;00;0.498
chrom;9;11;00;0.615
chrom;9;12;00;0.653
chrom;9;13;00;0.610
chrom;9;14;00;0.595
chrom;9;15;00;0.597
chrom;9;16;00;0.504
chrom;9;17;00;0.563
chrom;9;18;00;0.558
chrom;9;19;00;0.603
chrom;9;20;00;0.581
chrom;9;21;00;0.584
chrom;9;22;00;0.528
chrom;9;23;00;0.549
chrom;9;24;00;0.561
chrom;9;25;00;0.611
chrom;9;26;00;0.596
chrom;9;27;00;0.618
chrom;9;28;00;0.558
chrom;9;29;00;0.595
chrom;9;30;00;0.469
chrom;9;31;00;0.606
chrom;9;32;00;0.515
chrom;9;33;00;0.569
chrom;9;34;00;0.568
chrom;9;35;00;0.549
chrom;9;36;00;0.618
chrom;9;37;00;0.590
chrom;9;38;00;0.585
chrom;9;39;00;0.558
gen;9;;00;23.266
chrom;10;0;00;0.569
chrom;10;1;00;0.646
chrom;10;2;00;0.585
chrom;10;3;00;0.589
chrom;10;4;00;0.589
chrom;10;5;00;0.622
chrom;10;6;00;0.613
chrom;10;7;00;0.570
chrom;10;8;00;0.568
chrom;10;9;00;0.586
chrom;10;10;00;0.603
chrom;10;11;00;0.610
chrom;10;12;00;0.619
chrom;10;13;00;0.614
chrom;10;14;00;0.588
chrom;10;15;00;0.602
chrom;10;16;00;0.551
chrom;10;17;00;0.602
chrom;10;18;00;0.576
chrom;10;19;00;0.587
chrom;10;20;00;0.595
chrom;10;21;00;0.600
chrom;10;22;00;0.579
chrom;10;23;00;0.603
chrom;10;24;00;0.534
chrom;10;25;00;0.575
chrom;10;26;00;0.495
chrom;10;27;00;0.593
chrom;10;28;00;0.602
chrom;10;29;00;0.557
chrom;10;30;00;0.595
chrom;10;31;00;0.496
chrom;10;32;00;0.620
chrom;10;33;00;0.504
chrom;10;34;00;0.621
chrom;10;35;00;0.562
chrom;10;36;00;0.607
chrom;10;37;00;0.561
chrom;10;38;00;0.575
chrom;10;39;00;0.530
gen;10;;00;23.479
chrom;11;0;00;0.641
chrom;11;1;00;0.559
chrom;11;2;00;0.605
chrom;11;3;00;0.593
chrom;11;4;00;0.563
chrom;11;5;00;0.605
chrom;11;6;00;0.572
chrom;11;7;00;0.537
chrom;11;8;00;0.596
chrom;11;9;00;0.641
chrom;11;10;00;0.555
chrom;11;11;00;0.602
chrom;11;12;00;0.535
chrom;11;13;00;0.545
chrom;11;14;00;0.616
chrom;11;15;00;0.634
chrom;11;16;00;0.551
chrom;11;17;00;0.530
chrom;11;18;00;0.529
chrom;11;19;00;0.565
chrom;11;20;00;0.510
chrom;11;21;00;0.576
chrom;11;22;00;0.538
chrom;11;23;00;0.580
chrom;11;24;00;0.598
chrom;11;25;00;0.478
chrom;11;26;00;0.533
chrom;11;27;00;0.518
chrom;11;28;00;0.508
chrom;11;29;00;0.562
chrom;11;30;00;0.604
chrom;11;31;00;0.577
chrom;11;32;00;0.577
chrom;11;33;00;0.510
chrom;11;34;00;0.572
chrom;11;35;00;0.549
chrom;11;36;00;0.591
chrom;11;37;00;0.465
chrom;11;38;00;0.579
chrom;11;39;00;0.473
gen;11;;00;22.663
chrom;12;0;00;0.630
chrom;12;1;00;0.603
chrom;12;2;00;0.624
chrom;12;3;00;0.613
chrom;12;4;00;0.635
chrom;12;5;00;0.637
chrom;12;6;00;0.612
chrom;12;7;00;0.563
chrom;12;8;00;0.612
chrom;12;9;00;0.573
chrom;12;10;00;0.569
chrom;12;11;00;0.436
chrom;12;12;00;0.532
chrom;12;13;00;0.543
chrom;12;14;00;0.583
chrom;12;15;00;0.490
chrom;12;16;00;0.543
chrom;12;17;00;0.513
chrom;12;18;00;0.537
chrom;12;19;00;0.474
chrom;12;20;00;0.638
chrom;12;21;00;0.605
chrom;12;22;00;0.585
chrom;12;23;00;0.499
chrom;12;24;00;0.560
chrom;12;25;00;0.501
chrom;12;26;00;0.570
chrom;12;27;00;0.519
chrom;12;28;00;0.629
chrom;12;29;00;0.698
chrom;12;30;00;0.511
chrom;12;31;00;0.589
chrom;12;32;00;0.581
chrom;12;33;00;0.691
chrom;12;34;00;0.673
chrom;12;35;00;0.515
chrom;12;36;00;0.543
chrom;12;37;00;0.691
chrom;12;38;00;0.576
chrom;12;39;00;0.591
gen;12;;00;23.282
chrom;13;0;00;0.672
chrom;13;1;00;0.933
chrom;13;2;00;0.913
chrom;13;3;00;0.636
chrom;13;4;00;0.776
chrom;13;5;00;0.583
chrom;13;6;00;0.557
chrom;13;7;00;0.630
chrom;13;8;00;0.628
chrom;13;9;00;0.567
chrom;13;10;00;0.600
chrom;13;11;00;0.539
chrom;13;12;00;0.611
chrom;13;13;00;0.611
chrom;13;14;00;0.553
chrom;13;15;00;0.590
chrom;13;16;00;0.472
chrom;13;17;00;0.662
chrom;13;18;00;0.508
chrom;13;19;00;0.680
chrom;13;20;00;0.554
chrom;13;21;00;0.535
chrom;13;22;00;0.522
chrom;13;23;00;0.564
chrom;13;24;00;0.582
chrom;13;25;00;0.530
chrom;13;26;00;0.607
chrom;13;27;00;0.616
chrom;13;28;00;0.548
chrom;13;29;00;0.608
chrom;13;30;00;0.601
chrom;13;31;00;0.613
chrom;13;32;00;0.614
chrom;13;33;00;0.546
chrom;13;34;00;0.567
chrom;13;35;00;0.622
chrom;13;36;00;0.566
chrom;13;37;00;0.498
chrom;13;38;00;0.577
chrom;13;39;00;0.603
gen;13;;00;24.388
chrom;14;0;00;0.597
chrom;14;1;00;0.592
chrom;14;2;00;0.606
chrom;14;3;00;0.598
chrom;14;4;00;0.569
chrom;14;5;00;0.612
chrom;14;6;00;0.608
chrom;14;7;00;0.646
chrom;14;8;00;0.577
chrom;14;9;00;0.551
chrom;14;10;00;0.526
chrom;14;11;00;0.404
chrom;14;12;00;0.573
chrom;14;13;00;0.478
chrom;14;14;00;0.597
chrom;14;15;00;0.499
chrom;14;16;00;0.548
chrom;14;17;00;0.597
chrom;14;18;00;0.589
chrom;14;19;00;0.582
chrom;14;20;00;0.561
chrom;14;21;00;0.537
chrom;14;22;00;0.489
chrom;14;23;00;0.543
chrom;14;24;00;0.555
chrom;14;25;00;0.542
chrom;14;26;00;0.686
chrom;14;27;00;0.532
chrom;14;28;00;0.591
chrom;14;29;00;0.538
