generation;idx;fitness;param0;param1;param2;param3;param4;param5;param6;param7;param8;param9;param10;param11;param12;param13;param14;param15;param16;param17;param18;param19;param20
1;39;1.0;-d;-rrt;-ct;-cta;0.0;-ctb;10;-rsd;-r;1;-crlow;0.9;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;30;-bbcomp
1;40;1.0;-d;;;;;;;-rsd;-r;5;-crlow;0.9;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;
1;41;1.225;-d;;-ct;-cta;0.0;-ctb;10;;;;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;30;-bbcomp
1;42;1.053763440860215;-d;-rrt;-ct;-cta;0.33;-ctb;3;-rsd;-r;1;-crlow;0.6;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;0;
1;43;1.240506329113924;-d;;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;5;-bbcomp
1;44;1.0;;-rrt;-ct;-cta;1.0;-ctb;3;-rsd;-r;10;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;30;
1;45;1.0;-d;-rrt;-ct;-cta;1.0;-ctb;3;;;;-crlow;0.6;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;-bbcomp
1;46;1.0888888888888888;;;;;;;;-rsd;-r;5;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;15;
1;47;1.1666666666666667;;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;10;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;5;-bbcomp
1;48;1.1529411764705881;;;-ct;-cta;0.0;-ctb;3;;;;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;15;
1;49;1.0;-d;;-ct;-cta;0.33;-ctb;10;-rsd;-r;1;-crlow;0.9;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;
1;50;1.240506329113924;;;;;;;;-rsd;-r;1;-crlow;0.6;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;5;-bbcomp
1;51;1.0;-d;-rrt;-ct;-cta;0.67;-ctb;10;;;;-crlow;0.6;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;
1;52;1.0;-d;-rrt;-ct;-cta;1.0;-ctb;1;-rsd;-r;1;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;0;-bbcomp
1;53;1.065217391304348;;-rrt;;;;;;;;;-crlow;0.6;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;0;
1;54;1.0888888888888888;;-rrt;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;15;
1;55;1.0888888888888888;;;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;
1;56;1.0;-d;;;;;;;-rsd;-r;10;-crlow;0.9;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;0;
1;57;1.225;;-rrt;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;15;-bbcomp
1;58;1.0;;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;1;-crlow;0.2;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;30;-bbcomp
1;59;1.0;-d;;-ct;-cta;1.0;-ctb;3;-rsd;-r;1;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;-bbcomp
1;60;1.0;;;-ct;-cta;0.67;-ctb;10;-rsd;-r;10;-crlow;0.9;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;5;-bbcomp
1;61;1.0;-d;;-ct;-cta;1.0;-ctb;1;-rsd;-r;1;-crlow;0.2;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;0;
1;62;1.0;;;-ct;-cta;0.0;-ctb;10;;;;-crlow;0.9;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;30;-bbcomp
1;63;1.0;-d;-rrt;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;30;
1;64;1.0;;-rrt;-ct;-cta;1.0;-ctb;10;-rsd;-r;5;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;-bbcomp
1;65;1.240506329113924;;-rrt;;;;;;-rsd;-r;5;-crlow;0.6;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;-bbcomp
1;66;1.0888888888888888;;-rrt;-ct;-cta;0.33;-ctb;1;;;;-crlow;0.9;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;15;
1;67;0.8828828828828829;-d;;;;;;;;;;-crlow;0.6;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;-bbcomp
1;68;1.0;-d;-rrt;-ct;-cta;0.0;-ctb;3;-rsd;-r;1;-crlow;0.9;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;5;
1;69;1.0;;;-ct;-cta;1.0;-ctb;1;;;;-crlow;0.6;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;0;
2;0;1.0888888888888888;;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;5;-crlow;0.9;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;5;
2;1;1.0888888888888888;;;;;;;;-rsd;-r;5;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;15;
2;2;1.0888888888888888;;-rrt;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;15;
2;3;1.0888888888888888;;;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;
2;4;1.0888888888888888;;-rrt;-ct;-cta;0.33;-ctb;1;;;;-crlow;0.9;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;15;
2;5;1.101123595505618;;;;;;;;-rsd;-r;10;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;
2;6;1.101123595505618;-d;-rrt;;;;;;-rsd;-r;10;-crlow;0.6;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;0;-bbcomp
2;7;1.101123595505618;;-rrt;-ct;-cta;0.0;-ctb;10;;;;-crlow;0.6;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;5;
2;8;1.101123595505618;;-rrt;-ct;-cta;0.0;-ctb;10;;;;-crlow;0.6;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;5;-bbcomp
2;9;1.1136363636363635;-d;-rrt;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;0;-bbcomp
2;10;1.1529411764705881;;-rrt;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;-bbcomp
2;11;1.1529411764705881;-d;;-ct;-cta;0.67;-ctb;3;;;;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;15;-bbcomp
2;12;1.1529411764705881;;;-ct;-cta;0.0;-ctb;3;;;;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;15;
2;13;1.1666666666666667;-d;;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;30;
2;14;1.1666666666666667;-d;;;;;;;-rsd;-r;1;-crlow;0.2;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;30;-bbcomp
2;15;1.1666666666666667;;-rrt;-ct;-cta;0.67;-ctb;1;-rsd;-r;10;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;5;-bbcomp
2;16;1.180722891566265;-d;-rrt;;;;;;-rsd;-r;5;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;15;-bbcomp
2;17;1.180722891566265;-d;-rrt;;;;;;-rsd;-r;10;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;15;-bbcomp
2;18;1.2098765432098766;-d;;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;
2;19;1.225;;-rrt;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;30;-bbcomp
2;20;1.225;-d;;-ct;-cta;0.33;-ctb;1;;;;-crlow;0.2;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;5;
2;21;1.225;-d;;-ct;-cta;0.0;-ctb;10;;;;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;30;-bbcomp
2;22;1.225;;-rrt;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;15;-bbcomp
2;23;1.240506329113924;-d;;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;5;-bbcomp
2;24;1.240506329113924;;;;;;;;-rsd;-r;1;-crlow;0.6;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;5;-bbcomp
2;25;1.240506329113924;;-rrt;;;;;;-rsd;-r;5;-crlow;0.6;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;-bbcomp
2;26;1.2564102564102564;-d;-rrt;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;5;-bbcomp
2;27;1.2894736842105263;;-rrt;;;;;;;;;-crlow;0.6;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;-bbcomp
2;28;1.101123595505618;-d;-rrt;-ct;-cta;0.33;-ctb;3;;;;-crlow;0.9;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;0;-bbcomp
2;29;1.1666666666666667;-d;-rrt;-ct;-cta;0.67;-ctb;1;;;;-crlow;0.6;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;15;-bbcomp
2;30;1.225;-d;-rrt;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;30;-bbcomp
2;31;1.225;;;-ct;-cta;0.0;-ctb;10;-rsd;-r;1;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;-bbcomp
2;32;1.1666666666666667;;;-ct;-cta;0.67;-ctb;1;-rsd;-r;5;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;5;
2;33;1.0888888888888888;;;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;15;
2;34;1.101123595505618;;-rrt;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;
2;35;1.380281690140845;;-rrt;-ct;-cta;0.0;-ctb;3;;;;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;-bbcomp
2;36;1.240506329113924;;-rrt;;;;;;-rsd;-r;1;-crlow;0.6;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;5;-bbcomp
2;37;1.1666666666666667;;-rrt;;;;;;-rsd;-r;1;-crlow;0.6;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;15;-bbcomp
2;38;1.101123595505618;;;;;;;;;;;-crlow;0.2;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;
2;39;1.3424657534246576;-d;;;;;;;;;;-crlow;0.6;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;5;-bbcomp
2;40;1.225;;-rrt;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;0;-bbcomp
2;41;1.0;-d;-rrt;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;0;
2;42;1.0;-d;-rrt;;;;;;-rsd;-r;10;-crlow;0.9;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;0;-bbcomp
2;43;1.240506329113924;-d;;;;;;;;;;-crlow;0.9;-crhi;1.0;-comlow;0.6;-comhi;1.0;-cmin;15;-bbcomp
2;44;1.1395348837209303;-d;;-ct;-cta;0.33;-ctb;3;;;;-crlow;0.2;-crhi;1.0;-comlow;0.2;-comhi;1.0;-cmin;15;
2;45;1.2894736842105263;-d;;-ct;-cta;0.67;-ctb;3;;;;-crlow;0.2;-crhi;1.0;-comlow;0.9;-comhi;1.0;-cmin;5;-bbcomp
