timed;gen;idx;min;sec
chrom;6;23;00;0.000
chrom;6;24;00;0.000
chrom;6;25;00;0.000
chrom;6;26;00;0.004
chrom;6;27;00;0.000
chrom;6;28;00;0.680
chrom;6;29;00;0.612
chrom;6;30;00;0.000
chrom;6;31;00;0.000
chrom;6;32;00;0.000
chrom;6;33;00;0.000
chrom;6;34;00;0.593
chrom;6;35;00;0.000
chrom;6;36;00;0.000
chrom;6;37;00;0.000
chrom;6;38;00;0.000
chrom;6;39;00;0.600
gen;6;;00;2.888
chrom;7;0;00;0.000
chrom;7;1;00;0.000
chrom;7;2;00;0.000
chrom;7;3;00;0.000
chrom;7;4;00;0.000
chrom;7;5;00;0.000
chrom;7;6;00;0.000
chrom;7;7;00;0.000
chrom;7;8;00;0.000
chrom;7;9;00;0.000
chrom;7;10;00;0.000
chrom;7;11;00;0.000
chrom;7;12;00;0.000
chrom;7;13;00;0.000
chrom;7;14;00;0.000
chrom;7;15;00;0.000
chrom;7;16;00;0.000
chrom;7;17;00;0.632
chrom;7;18;00;0.000
chrom;7;19;00;0.810
chrom;7;20;00;0.000
chrom;7;21;00;0.000
chrom;7;22;00;0.000
chrom;7;23;00;0.000
chrom;7;24;00;0.000
chrom;7;25;00;0.002
chrom;7;26;00;0.001
chrom;7;27;00;0.000
chrom;7;28;00;0.000
chrom;7;29;00;0.001
chrom;7;30;00;0.002
chrom;7;31;00;0.000
chrom;7;32;00;0.000
chrom;7;33;00;0.000
chrom;7;34;00;0.000
chrom;7;35;00;0.000
chrom;7;36;00;0.000
chrom;7;37;00;0.000
chrom;7;38;00;0.000
chrom;7;39;00;0.000
gen;7;;00;1.929
chrom;8;0;00;0.001
chrom;8;1;00;0.000
chrom;8;2;00;0.000
chrom;8;3;00;0.000
chrom;8;4;00;0.000
chrom;8;5;00;0.000
chrom;8;6;00;0.000
chrom;8;7;00;0.000
chrom;8;8;00;0.000
chrom;8;9;00;0.000
chrom;8;10;00;0.000
chrom;8;11;00;0.000
chrom;8;12;00;0.000
chrom;8;13;00;0.000
chrom;8;14;00;0.000
chrom;8;15;00;0.000
chrom;8;16;00;0.000
chrom;8;17;00;0.000
chrom;8;18;00;0.000
chrom;8;19;00;0.626
chrom;8;20;00;0.000
chrom;8;21;00;0.000
chrom;8;22;00;0.000
chrom;8;23;00;0.580
chrom;8;24;00;0.000
chrom;8;25;00;0.000
chrom;8;26;00;0.000
chrom;8;27;00;0.000
chrom;8;28;00;0.573
chrom;8;29;00;0.592
chrom;8;30;00;0.000
chrom;8;31;00;0.000
chrom;8;32;00;0.000
chrom;8;33;00;0.000
chrom;8;34;00;0.000
chrom;8;35;00;0.000
chrom;8;36;00;0.000
chrom;8;37;00;0.000
chrom;8;38;00;0.000
chrom;8;39;00;0.000
gen;8;;00;2.823
chrom;9;0;00;0.000
chrom;9;1;00;0.000
chrom;9;2;00;0.001
chrom;9;3;00;0.000
chrom;9;4;00;0.000
chrom;9;5;00;0.000
chrom;9;6;00;0.000
chrom;9;7;00;0.000
chrom;9;8;00;0.000
chrom;9;9;00;0.001
chrom;9;10;00;0.000
chrom;9;11;00;0.000
chrom;9;12;00;0.000
chrom;9;13;00;0.000
chrom;9;14;00;0.000
chrom;9;15;00;0.000
chrom;9;16;00;0.000
chrom;9;17;00;0.000
chrom;9;18;00;0.000
chrom;9;19;00;0.001
chrom;9;20;00;0.000
chrom;9;21;00;0.000
chrom;9;22;00;0.000
chrom;9;23;00;0.000
chrom;9;24;00;0.000
chrom;9;25;00;0.000
chrom;9;26;00;0.000
chrom;9;27;00;0.000
chrom;9;28;00;0.000
chrom;9;29;00;0.000
chrom;9;30;00;0.000
chrom;9;31;00;0.000
chrom;9;32;00;0.000
chrom;9;33;00;0.565
chrom;9;34;00;0.583
chrom;9;35;00;0.000
chrom;9;36;00;0.000
chrom;9;37;00;0.001
chrom;9;38;00;0.000
chrom;9;39;00;0.004
gen;9;;00;1.649
chrom;10;0;00;0.000
chrom;10;1;00;0.000
chrom;10;2;00;0.000
chrom;10;3;00;0.000
chrom;10;4;00;0.000
chrom;10;5;00;0.000
chrom;10;6;00;0.000
chrom;10;7;00;0.000
chrom;10;8;00;0.000
chrom;10;9;00;0.000
chrom;10;10;00;0.000
chrom;10;11;00;0.000
chrom;10;12;00;0.000
chrom;10;13;00;0.001
chrom;10;14;00;0.000
chrom;10;15;00;0.000
chrom;10;16;00;0.000
chrom;10;17;00;0.000
chrom;10;18;00;0.000
chrom;10;19;00;0.000
chrom;10;20;00;0.000
chrom;10;21;00;0.000
chrom;10;22;00;0.002
chrom;10;23;00;0.000
chrom;10;24;00;0.000
chrom;10;25;00;0.000
chrom;10;26;00;0.000
chrom;10;27;00;0.000
chrom;10;28;00;0.000
chrom;10;29;00;0.000
chrom;10;30;00;0.000
chrom;10;31;00;0.000
chrom;10;32;00;0.605
chrom;10;33;00;0.001
chrom;10;34;00;0.000
chrom;10;35;00;0.000
chrom;10;36;00;0.667
chrom;10;37;00;0.641
chrom;10;38;00;0.000
chrom;10;39;00;0.580
gen;10;;00;2.930
chrom;11;0;00;0.000
chrom;11;1;00;0.000
chrom;11;2;00;0.000
chrom;11;3;00;0.000
chrom;11;4;00;0.001
chrom;11;5;00;0.000
chrom;11;6;00;0.001
chrom;11;7;00;0.004
chrom;11;8;00;0.000
chrom;11;9;00;0.000
chrom;11;10;00;0.000
chrom;11;11;00;0.000
chrom;11;12;00;0.000
chrom;11;13;00;0.000
chrom;11;14;00;0.000
chrom;11;15;00;0.000
chrom;11;16;00;0.000
chrom;11;17;00;0.000
chrom;11;18;00;0.000
chrom;11;19;00;0.000
chrom;11;20;00;0.000
chrom;11;21;00;0.000
chrom;11;22;00;0.000
chrom;11;23;00;0.000
chrom;11;24;00;0.000
chrom;11;25;00;0.004
chrom;11;26;00;0.000
chrom;11;27;00;0.000
chrom;11;28;00;0.000
chrom;11;29;00;0.000
chrom;11;30;00;0.004
chrom;11;31;00;0.620
chrom;11;32;00;0.680
chrom;11;33;00;0.000
chrom;11;34;00;0.000
chrom;11;35;00;0.000
chrom;11;36;00;0.000
chrom;11;37;00;0.000
chrom;11;38;00;0.000
chrom;11;39;00;0.000
gen;11;;00;1.664
chrom;12;0;00;0.000
chrom;12;1;00;0.000
chrom;12;2;00;0.000
chrom;12;3;00;0.000
chrom;12;4;00;0.000
chrom;12;5;00;0.000
chrom;12;6;00;0.000
chrom;12;7;00;0.000
chrom;12;8;00;0.000
chrom;12;9;00;0.000
chrom;12;10;00;0.000
chrom;12;11;00;0.000
chrom;12;12;00;0.000
chrom;12;13;00;0.001
chrom;12;14;00;0.000
chrom;12;15;00;0.000
chrom;12;16;00;0.000
chrom;12;17;00;0.000
chrom;12;18;00;0.000
chrom;12;19;00;0.000
chrom;12;20;00;0.000
chrom;12;21;00;0.000
chrom;12;22;00;0.000
chrom;12;23;00;0.000
chrom;12;24;00;0.000
chrom;12;25;00;0.000
chrom;12;26;00;0.000
chrom;12;27;00;0.000
chrom;12;28;00;0.000
chrom;12;29;00;0.000
chrom;12;30;00;0.000
chrom;12;31;00;0.579
chrom;12;32;00;0.000
chrom;12;33;00;0.680
chrom;12;34;00;0.000
chrom;12;35;00;0.000
chrom;12;36;00;0.004
chrom;12;37;00;0.000
chrom;12;38;00;0.767
chrom;12;39;00;0.000
gen;12;;00;2.440
chrom;13;0;00;0.000
chrom;13;1;00;0.000
chrom;13;2;00;0.000
chrom;13;3;00;0.000
chrom;13;4;00;0.000
chrom;13;5;00;0.000
chrom;13;6;00;0.000
chrom;13;7;00;0.000
chrom;13;8;00;0.000
chrom;13;9;00;0.000
chrom;13;10;00;0.000
chrom;13;11;00;0.000
chrom;13;12;00;0.000
chrom;13;13;00;0.000
chrom;13;14;00;0.000
chrom;13;15;00;0.004
chrom;13;16;00;0.000
chrom;13;17;00;0.000
chrom;13;18;00;0.590
chrom;13;19;00;0.000
chrom;13;20;00;0.000
chrom;13;21;00;0.633
chrom;13;22;00;0.000
chrom;13;23;00;0.000
chrom;13;24;00;0.000
chrom;13;25;00;0.000
chrom;13;26;00;0.000
chrom;13;27;00;0.000
chrom;13;28;00;0.000
chrom;13;29;00;0.000
chrom;13;30;00;0.000
chrom;13;31;00;0.623
chrom;13;32;00;0.000
chrom;13;33;00;0.000
chrom;13;34;00;0.000
chrom;13;35;00;0.000
chrom;13;36;00;0.000
chrom;13;37;00;0.000
chrom;13;38;00;0.000
chrom;13;39;00;0.004
gen;13;;00;2.398
chrom;14;0;00;0.001
chrom;14;1;00;0.000
chrom;14;2;00;0.000
chrom;14;3;00;0.000
chrom;14;4;00;0.000
chrom;14;5;00;0.000
chrom;14;6;00;0.000
chrom;14;7;00;0.000
chrom;14;8;00;0.001
chrom;14;9;00;0.000
chrom;14;10;00;0.002
chrom;14;11;00;0.000
chrom;14;12;00;0.000
chrom;14;13;00;0.000
chrom;14;14;00;0.000
chrom;14;15;00;0.000
chrom;14;16;00;0.004
chrom;14;17;00;0.000
chrom;14;18;00;0.000
chrom;14;19;00;0.000
chrom;14;20;00;0.000
chrom;14;21;00;0.000
chrom;14;22;00;0.000
chrom;14;23;00;0.000
chrom;14;24;00;0.000
chrom;14;25;00;0.000
chrom;14;26;00;0.000
chrom;14;27;00;0.000
chrom;14;28;00;0.000
chrom;14;29;00;0.000
chrom;14;30;00;0.000
chrom;14;31;00;0.000
chrom;14;32;00;0.000
chrom;14;33;00;0.000
chrom;14;34;00;0.000
chrom;14;35;00;0.000
chrom;14;36;00;0.000
chrom;14;37;00;0.000
chrom;14;38;00;0.000
chrom;14;39;00;0.000
gen;14;;00;0.485
chrom;15;0;00;0.000
chrom;15;1;00;0.000
chrom;15;2;00;0.000
chrom;15;3;00;0.000
chrom;15;4;00;0.000
chrom;15;5;00;0.000
chrom;15;6;00;0.000
chrom;15;7;00;0.000
chrom;15;8;00;0.000
chrom;15;9;00;0.000
chrom;15;10;00;0.000
chrom;15;11;00;0.000
chrom;15;12;00;0.000
chrom;15;13;00;0.000
chrom;15;14;00;0.001
chrom;15;15;00;0.000
chrom;15;16;00;0.000
chrom;15;17;00;0.001
chrom;15;18;00;0.000
